iter	RMSE
0	62.26907498
1	61.50261775
2	60.80347885
3	60.12364189
4	59.4776102
5	58.95458118
6	58.47283708
7	57.97946219
8	57.50591544
9	57.07260195
10	56.63673998
11	56.30071405
12	55.97206296
13	55.62369408
14	55.33602285
15	55.06883625
16	54.86896248
17	54.62649412
18	54.40851542
19	54.16399842
20	53.94807453
21	53.79204426
22	53.6310411
23	53.47068865
24	53.32817973
25	53.18072947
26	53.05214295
27	52.93082268
28	52.8104203
29	52.7076634
30	52.59185051
31	52.50433364
32	52.39931184
33	52.31728023
34	52.22142972
35	52.14353368
36	52.08709243
37	52.03047836
38	51.97409005
39	51.89269823
40	51.82323242
41	51.76033313
42	51.69896027
43	51.60721101
44	51.57567162
45	51.53202272
46	51.47560775
47	51.41203246
48	51.34306605
49	51.31146466
50	51.24940765
51	51.2155428
52	51.18126307
53	51.1351774
54	51.1161448
55	51.07854143
56	51.06100462
57	51.03350132
58	51.01140289
59	50.975028
60	50.93731042
61	50.89744641
62	50.87774937
63	50.84769182
64	50.83386691
65	50.80731513
66	50.79776128
67	50.76331431
68	50.7304764
69	50.70140821
70	50.67033631
71	50.656484
72	50.64509392
73	50.62666443
74	50.60006877
75	50.57941519
76	50.56009429
77	50.54585299
78	50.53534678
79	50.52283131
80	50.49706317
81	50.4641655
82	50.44841306
83	50.4201172
84	50.40887513
85	50.39140885
86	50.38345931
87	50.3725136
88	50.36440716
89	50.34612315
90	50.3385989
91	50.32422887
92	50.30360005
93	50.28682123
94	50.27499356
95	50.24399456
96	50.23656837
97	50.22715161
98	50.22542569
99	50.21479294
100	50.20384653
101	50.19721979
102	50.18361229
103	50.16722947
104	50.15877993
105	50.13538883
106	50.12328768
107	50.11048132
108	50.09937737
109	50.08106582
110	50.07090797
111	50.06634398
112	50.06453581
113	50.0490649
114	50.03701932
115	50.03158722
116	50.01396056
117	50.00029549
118	49.98944193
119	49.97897298
120	49.97187135
121	49.95821949
122	49.94181534
123	49.92838056
124	49.92341146
125	49.9084631
126	49.88949907
127	49.87558067
128	49.86251067
129	49.85999364
130	49.84074889
131	49.83315927
132	49.82763708
133	49.81654128
134	49.8159387
135	49.80017833
136	49.79204351
137	49.77971207
138	49.77687263
139	49.75954159
140	49.75052002
141	49.7331258
142	49.73117582
143	49.72030717
144	49.71956528
145	49.70041452
146	49.69404117
147	49.68587378
148	49.67355542
149	49.66629898
150	49.65539202
151	49.65451232
152	49.6429155
153	49.63507565
154	49.62980232
155	49.6199587
156	49.61196676
157	49.61170131
158	49.59853345
159	49.5919242
160	49.58747798
161	49.58191543
162	49.56887312
163	49.55701455
164	49.54461989
165	49.53727935
166	49.51757867
167	49.50760076
168	49.50127474
169	49.49208468
170	49.48646849
171	49.47278381
172	49.46424123
173	49.4537141
174	49.44012311
175	49.43513638
176	49.42333157
177	49.41240757
178	49.39491792
179	49.38325624
180	49.37107
181	49.36284453
182	49.36034209
183	49.34738203
184	49.33792034
185	49.33152014
186	49.32024632
187	49.30885222
188	49.30813113
189	49.29484377
190	49.28843075
191	49.27643169
192	49.26355955
193	49.25366365
194	49.24209811
195	49.23241733
196	49.22091327
197	49.21571407
198	49.20707754
199	49.1933473
200	49.18291279
201	49.17600183
202	49.16461316
203	49.15014349
204	49.14126748
205	49.13319305
206	49.12306814
207	49.11570122
208	49.10726536
209	49.09297851
210	49.08268263
211	49.07406564
212	49.06123842
213	49.04847105
214	49.0375079
215	49.02751613
216	49.01788943
217	49.00810613
218	49.00293775
219	48.99326215
220	48.98076808
221	48.97370043
222	48.96290214
223	48.94971235
224	48.9399682
225	48.93035366
226	48.92239012
227	48.91571184
228	48.90605889
229	48.89779852
230	48.8852568
231	48.87580939
232	48.86546
233	48.85841966
234	48.85102766
235	48.8421274
236	48.83572856
237	48.82586578
238	48.81758914
239	48.81291697
240	48.80293677
241	48.79672115
242	48.79067721
243	48.78083853
244	48.76768634
245	48.76055761
246	48.74728588
247	48.74189022
248	48.73434958
249	48.72571274
250	48.71770663
251	48.70704688
252	48.69661279
253	48.69115609
254	48.68130616
255	48.67431966
256	48.66520384
257	48.6551423
258	48.64677058
259	48.63951002
260	48.63211926
261	48.62512308
262	48.61688632
263	48.60969806
264	48.60078424
265	48.594961
266	48.58675242
267	48.58019741
268	48.57206659
269	48.56292377
270	48.55892911
271	48.5536505
272	48.54647249
273	48.53801811
274	48.53249179
275	48.52548534
276	48.51899073
277	48.51125675
278	48.50407412
279	48.49759059
280	48.48739528
281	48.48155295
282	48.47350996
283	48.4687588
284	48.46338713
285	48.45662761
286	48.45076786
287	48.44374359
288	48.43539546
289	48.43006202
290	48.42670661
291	48.42054425
292	48.4114918
293	48.40554647
294	48.39930587
295	48.39244815
296	48.38533942
297	48.37935565
298	48.37095372
299	48.36490599
300	48.35694272
301	48.35077516
302	48.34533548
303	48.3369733
304	48.33152025
305	48.32640853
306	48.32314277
307	48.31751771
308	48.3128803
309	48.30991406
310	48.30297287
311	48.29703523
312	48.29100396
313	48.28567419
314	48.27981826
315	48.27381354
316	48.26927988
317	48.26418785
318	48.25774382
319	48.25095906
320	48.24630951
321	48.24269517
322	48.23670973
323	48.23331284
324	48.22781892
325	48.22117892
326	48.2175125
327	48.20935857
328	48.20565232
329	48.2003674
330	48.19572753
331	48.19150973
332	48.18388224
333	48.17863534
334	48.17324624
335	48.16817479
336	48.16384469
337	48.1611354
338	48.15505236
339	48.14954215
340	48.14523207
341	48.14131019
342	48.13816626
343	48.1330433
344	48.12722328
345	48.12156126
346	48.11808187
347	48.11131916
348	48.105632
349	48.10099803
350	48.09793422
351	48.09264841
352	48.08945855
353	48.08410948
354	48.08065744
355	48.07649845
356	48.07286825
357	48.07027674
358	48.06602085
359	48.06180829
360	48.05769795
361	48.05537292
362	48.05083023
363	48.04445151
364	48.03876697
365	48.03454007
366	48.03043237
367	48.02605519
368	48.02214648
369	48.01872506
370	48.01513141
371	48.01241777
372	48.01013466
373	48.0055128
374	48.00155189
375	47.99825465
376	47.99251781
377	47.98869067
378	47.98472528
379	47.98127951
380	47.97501093
381	47.97316382
382	47.96841549
383	47.96415046
384	47.96085368
385	47.95518489
386	47.95213208
387	47.94902413
388	47.94587651
389	47.9405875
390	47.93668748
391	47.93307568
392	47.92960257
393	47.92644034
394	47.92432475
395	47.92242015
396	47.91974833
397	47.91724884
398	47.9122865
399	47.9073224
400	47.90414534
401	47.90028663
402	47.89266697
403	47.88868202
404	47.88283169
405	47.87793667
406	47.8748333
407	47.87161135
408	47.8677284
409	47.86483203
410	47.86181963
411	47.85561005
412	47.84962327
413	47.84537741
414	47.84317831
415	47.84012414
416	47.83733053
417	47.83195191
418	47.82883124
419	47.82706558
420	47.82355341
421	47.82097594
422	47.81820033
423	47.81381179
424	47.80858479
425	47.8035225
426	47.79968436
427	47.79636218
428	47.79368094
429	47.7912188
430	47.78888715
431	47.78482101
432	47.78284333
433	47.77922578
434	47.77427482
435	47.77091018
436	47.76763092
437	47.76418385
438	47.76007711
439	47.75708187
440	47.75358199
441	47.75110477
442	47.74659323
443	47.7439503
444	47.74134111
445	47.73774701
446	47.73509897
447	47.73274241
448	47.72946884
449	47.72720186
450	47.72129941
451	47.71714548
452	47.71324128
453	47.70933703
454	47.70450291
455	47.70013267
456	47.69619229
457	47.69357622
458	47.69028074
459	47.68847707
460	47.68552762
461	47.68276734
462	47.67976966
463	47.67728775
464	47.67416927
465	47.67061324
466	47.66731123
467	47.66491436
468	47.65925834
469	47.6556758
470	47.65304777
471	47.6512867
472	47.64960426
473	47.64607202
474	47.64448361
475	47.64157124
476	47.63753022
477	47.63581398
478	47.63280702
479	47.62973934
480	47.62755743
481	47.62537035
482	47.62183769
483	47.61860095
484	47.61557085
485	47.61386426
486	47.61150029
487	47.60821611
488	47.60500684
489	47.6008225
490	47.59894466
491	47.59597916
492	47.5937388
493	47.59155865
494	47.58924184
495	47.58667228
496	47.58437689
497	47.58293202
498	47.58047502
499	47.57726231
500	47.57580595
501	47.57325693
502	47.57039218
503	47.5678443
504	47.56630401
505	47.56361937
506	47.56039952
